BER_SPO1/18/11,BER_SPO2/18/11,OSNR_SPO1/18/11,OSNR_SPO2/18/11,Ampli1_InputPower,Ampli1_OutputPower,Ampli2_InputPower,Ampli2_OutputPower,Ampli3_InputPower,Ampli3_OutputPower,Ampli4_InputPower,Ampli4_OutputPower,LT
-9.186814293,-17.19690531,19.1,29.3,-13.8,1.4,-13.5,1.6,-15,0.7,-14.3,1.2,1
-9.192558412,-17.28605802,19.1,31,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.181337064,-17.25440981,19.2,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-10.29458537,-17.29575115,34.8,29.9,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86464361,-17.27964774,34.4,29.4,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84376602,-17.23589076,34,28.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.85206483,-17.28605802,32.8,29,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88812388,-17.30226583,34.3,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.85415033,-17.22675828,33.3,30.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86253613,-17.24510741,34.7,29.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.89245289,-17.30226583,34.5,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86675554,-17.23895355,32,28.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84790682,-17.25440981,34.1,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86887194,-17.30553915,34.3,29.1,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86675554,-17.22675828,34.2,29.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86464361,-17.26694916,32.3,30.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87311824,-17.25752993,31.8,29.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.9551132,-17.27327829,32.1,31.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.93002637,-17.31874067,33.9,28.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86887194,-17.32206846,33.9,30.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88596638,-17.32875744,33.9,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.90775373,-17.36289045,34.6,30.2,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.169571819,-17.27010872,20.6,29.4,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.181764577,-17.29900318,18.9,29.6,-13.8,1.5,-13.5,1.7,-15,0.7,-14.2,1.2,1
-9.170614979,-17.33549148,19,28.8,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.170464105,-17.28927863,19,29.4,-13.8,1.5,-13.5,1.7,-15,0.7,-14.3,1.2,1
-9.452392825,-17.27964774,19.1,29.1,-13.8,1.4,-13.5,1.7,-15,0.7,-14.2,1.2,1
-9.178177197,-17.34567832,19,29.4,-13.8,1.4,-13.5,1.7,-15,0.7,-14.2,1.2,1
-9.160682013,-17.29250965,19,31.4,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.157750768,-17.61420488,19.1,30.9,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.172254918,-17.35252766,18.9,28.5,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.165376567,-17.33549148,19.1,29.6,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
